analysis_id,brief_description,dimension,paper_text,paper_location,code_text,code_file,code_lines,match_status,explanation
3,Kaplan–Meier curves in the post-COVID diagnosis cohort estimated the cumulative probability of time to first coded long COVID stratified by age group.,Test Specification,"The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.","The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and","survfit(Surv(time, event) ~ 1, data = .x, conf.type=""log-log"")[...]dat_age <- round_km(input_sex, ""lcovid_surv"", ""lcovid_cens"", ""cov_cat_age_group"", threshold=6)",analysis/functions/function_round_km.R [...] analysis/figure_kaplan_meier_cohorts.R,approx. 29-43 [...] approx. 20-35,match,The paper specifies a Kaplan–Meier approach; the code computes Kaplan–Meier curves via survival::survfit and applies them by age group and sex for the cohort (including the post-COVID diagnosis cohort).
3,Kaplan–Meier curves in the post-COVID diagnosis cohort estimated the cumulative probability of time to first coded long COVID stratified by age group.,Variable Specification,"“The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.” [...] “The outcome was clinically coded long COVID, constructed from the date of the first record of any of the 15 UK SNOMED-CT codes for long COVID 6 in English primary care records, consisting of two diagnostic codes, three referral codes and 10 assessment codes (Supplement, Table S2). Time to the outcome event was defined as days from participant specific follow-up start date (Supplement, Table S1).” [...] “Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 years.” [...] “a post-COVID diagnosis cohort, defined regardless of vaccination status, with follow-up start date the first recorded COVID-19 diagnosis and end date the earliest of first record of any long COVID code, death date, or 31 March 2022.”","“The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.”","input <- input %>% dplyr::select(lcovid_surv, lcovid_cens, contains(""sex""), contains(""cov_cat_age"")) [...] levels(input$cov_cat_age_group) <- c(""18-39"", ""40-59"", ""60-79"", ""80+"") [...] dat_age <- round_km(input_sex, ""lcovid_surv"", ""lcovid_cens"", ""cov_cat_age_group"", threshold=6) [...] dat_age_select$y_prob = dat_age_select$y/total [...] facet_grid(cols = vars(sex)) [...] labs(title="""",x=""\nDate"", y = ""\nCumulative probability of long COVID code\n"")",analysis/figure_kaplan_meier_cohorts.R,10-80,match,"Both paper and code define the outcome as clinically coded long COVID with time-to-event from follow-up start and stratify Kaplan–Meier estimates by age group (specified categories) and sex, including application to the post-COVID cohort. Minor labelling differences (""80+"" vs ""80-105"") do not change variable roles."
3,Kaplan–Meier curves in the post-COVID diagnosis cohort estimated the cumulative probability of time to first coded long COVID stratified by age group.,Parameter Specification,"Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 years.[...]The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.","Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 y","levels(input$cov_cat_age_group) <- c(""18-39"", ""40-59"", ""60-79"", ""80+"")[...]dat_age <- round_km(input_sex, ""lcovid_surv"", ""lcovid_cens"", ""cov_cat_age_group"", threshold=6)",analysis/figure_kaplan_meier_cohorts.R,"16-25, 31-36",mismatch,"The paper specifies the oldest age band as “80-105” and KM estimation by age/sex, while the code sets the band to “80+” and applies a rounding threshold of 6; these parameters differ. Therefore, the implementation does not match the paper’s stated parameterisation."
3,Kaplan–Meier curves in the post-COVID diagnosis cohort estimated the cumulative probability of time to first coded long COVID stratified by age group.,Inference Specification,"The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.","The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and","survfit(Surv(time, event) ~ 1, data = .x, conf.type=""log-log"")",analysis/functions/function_round_km.R,20-40,mismatch,"The paper does not specify any inference details (e.g., confidence interval method) for the Kaplan–Meier curves. The code explicitly uses log–log confidence intervals for the Kaplan–Meier estimates, indicating an inference choice not stated in the paper."
3,Kaplan–Meier curves in the post-COVID diagnosis cohort estimated the cumulative probability of time to first coded long COVID stratified by age group.,Coding Specification,"“The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.”[...]“Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 years.”","“The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.”","levels(input$cov_cat_age_group) <- c(""18-39"", ""40-59"", ""60-79"", ""80+"")[...]input$cov_cat_age_group <- ifelse(input$cov_num_age>=18 & input$cov_num_age<=39, ""18_39"", input$cov_cat_age_group)
input$cov_cat_age_group <- ifelse(input$cov_num_age>=40 & input$cov_num_age<=59, ""40_59"", input$cov_cat_age_group)
input$cov_cat_age_group <- ifelse(input$cov_num_age>=60 & input$cov_num_age<=79, ""60_79"", input$cov_cat_age_group)
input$cov_cat_age_group <- ifelse(input$cov_num_age>=80, ""80_105"", input$cov_cat_age_group)
input$cov_cat_age_group <- factor(input$cov_cat_age_group, ordered = TRUE)",analysis/figure_kaplan_meier_cohorts.R[...]analysis/stage1_define_eligible_population.R,approx 20-23[...]approx 150-160,match,"The paper specifies KM curves by age group with categories 18–39, 40–59, 60–79, and 80–105, and the code constructs these exact age groups (labelled ""80+"" in the plot). Thus the variable coding for the KM stratifier matches."
4,Kaplan–Meier curves in the post-COVID diagnosis cohort estimated the cumulative probability of time to first coded long COVID stratified by sex.,Test Specification,"The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.","The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and","survfit(Surv(time, event) ~ 1, data = .x, conf.type=""log-log"")",analysis/functions/function_round_km.R,30-45,match,"Both the paper and code use the Kaplan-Meier method to estimate cumulative probability/survival. The code calls survfit on a Surv object, which implements Kaplan–Meier estimation."
4,Kaplan–Meier curves in the post-COVID diagnosis cohort estimated the cumulative probability of time to first coded long COVID stratified by sex.,Variable Specification,"“The outcome was clinically coded long COVID, constructed from the date of the first record of any of the 15 UK SNOMED-CT codes for long COVID 6 in English primary care records, consisting of two diagnostic codes, three referral codes and 10 assessment codes (Supplement, Table S2). Time to the outcome event was defined as days from participant specific follow-up start date (Supplement, Table S1).” [...] “There is only one entry for sex in the EHR for each patient.” [...] “a post-COVID diagnosis cohort, defined regardless of vaccination status, with follow-up start date the first recorded COVID-19 diagnosis and end date the earliest of first record of any long COVID code, death date, or 31 March 2022;” [...] “The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.”","“The outcome was clinically coded long COVID, constructed from the date of the first record of any of the 15 UK SNOMED-CT codes for long COVID 6 in English primary care records, consisting of two diagnostic codes, three referral codes and 10 assessment codes (Supplement, Table S2). Time to the outcome event was defined as days from participant specific follow-up start date (Supplement, Table S1).”","input <- read_rds(paste0(""output/input_stage1_"", cohort, "".rds"")) [...] input <- input %>% dplyr::select(lcovid_surv, lcovid_cens, contains(""sex""), contains(""cov_cat_age"")) [...] dat_age <- round_km(input_sex, ""lcovid_surv"", ""lcovid_cens"", ""cov_cat_age_group"", threshold=6) [...] facet_grid(cols = vars(sex)) + [...] if(cohort == ""infected""){ 
    input <- input %>% filter(!is.na(out_covid_date) &out_covid_date>= index_date & out_covid_date <= cohort_end_date)
    input$index_date = input$out_covid_date
  } [...] input_select <- input_select%>% rowwise() %>% mutate(fup_end_date=min(out_first_long_covid_date, 
                                                                        death_date, 
                                                                        cohort_end_date,
                                                                        na.rm = TRUE))
  input_select$lcovid_surv<- as.numeric(input_select$fup_end_date - input_select$index_date)+1
  input_select <- input_select %>% mutate(lcovid_cens = ifelse((out_first_long_covid_date <= fup_end_date & 
                                                                  out_first_long_covid_date >= index_date &
                                                                  !is.na(out_first_long_covid_date)), 1, 0))",analysis/figure_kaplan_meier_cohorts.R [...] analysis/stage0_data_cleaning.R [...] analysis/stage1_define_eligible_population.R,"figure_kaplan_meier_cohorts.R: ~5-20, 25-35, 60-80 [...] stage0_data_cleaning.R: ~38-51 [...] stage1_define_eligible_population.R: ~135-153",match,"The code defines time-to-event variables for long COVID in the infected cohort, sets the index at first COVID diagnosis, and produces Kaplan–Meier curves grouped by age and faceted by sex, aligning with the paper’s outcome, time scale, cohort, and sex stratifier. Thus, the variable specification matches."
4,Kaplan–Meier curves in the post-COVID diagnosis cohort estimated the cumulative probability of time to first coded long COVID stratified by sex.,Parameter Specification,"a post-COVID diagnosis cohort, defined regardless of vaccination status, with follow-up start date the first recorded COVID-19 diagnosis and end date the earliest of first record of any long COVID code, death date, or 31 March 2022.[...]Time to the outcome event was defined as days from participant specific follow-up start date (Supplement, Table S1).","-COVID diagnosis cohort, defined regardless of vaccination status, with follow-up start date the first recorded COVID-19 diagnosis and end date the earliest of first record of any long COVID code, death date, or 31 March 2022","cohort_end = as.Date(""2022-03-31"", format=""%Y-%m-%d"")[...]if(cohort == ""infected""){
    # select people who were infected during the study period
    input <- input %>% filter(!is.na(out_covid_date) &out_covid_date>= index_date & out_covid_date <= cohort_end_date)
    # reset index date to be the date of covid infection
    input$index_date = input$out_covid_date
  }[...]input_select <- input_select%>% rowwise() %>% mutate(fup_end_date=min(out_first_long_covid_date, 
                                                                        death_date, 
                                                                        cohort_end_date,
                                                                        na.rm = TRUE))[...]input_select$lcovid_surv<- as.numeric(input_select$fup_end_date - input_select$index_date)+1",analysis/stage1_define_eligible_population.R,approx. lines 17-20; 60-67; 131-139; 140-146,match,"The code sets the post-COVID cohort start as the first COVID-19 diagnosis, censors at the earliest of long COVID, death, or 31 March 2022, and defines time as days from start, matching the paper’s specification."
4,Kaplan–Meier curves in the post-COVID diagnosis cohort estimated the cumulative probability of time to first coded long COVID stratified by sex.,Inference Specification,"The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and sex.","The cumulative probability of coded long COVID was estimated, using the Kaplan-Meier approach, by age group and","surv_obj = map(data, ~{
        survfit(Surv(time, event) ~ 1, data = .x, conf.type=""log-log"")
      }),",analysis/functions/function_round_km.R,30-48,mismatch,"The paper does not state any inference criteria (e.g., confidence intervals) for the Kaplan–Meier curves, whereas the code specifies log–log confidence intervals via conf.type=""log-log"". This indicates additional inference details in the code not described in the paper."
4,Kaplan–Meier curves in the post-COVID diagnosis cohort estimated the cumulative probability of time to first coded long COVID stratified by sex.,Coding Specification,"Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 years.","Where categorised, age groups were: 18-39, 40-59, 60-79, 80-105 y","levels(input$cov_cat_age_group) <- c(""18-39"", ""40-59"", ""60-79"", ""80+"")",analysis/figure_kaplan_meier_cohorts.R,20-28,mismatch,"The paper codes the oldest age group as “80-105”, whereas the code uses “80+”. This discrepancy indicates different age group coding for the Kaplan–Meier stratification."
5,Age- and sex-adjusted Cox proportional hazards model in the primary cohort estimating hazard ratios for demographic predictors of time to first coded long COVID.,Test Specification,"In each cohort, hazard ratios with 95% confidence intervals (CI) for each patient characteristic were estimated from age-and-sex adjusted Cox proportional hazards (PH) models, and then all patient characteristics were included in a multivariable Cox PH model.","In each cohort, hazard ratios with 95% confidence intervals (CI) for each patient characteristic were estimated from age-and-sex adjusted Cox proportional hazards (PH) models, and then all patient characteristics were included in a multivariable Cox PH model","surv_formula_age_spl_sex_adjusted <- paste0(surv_formula_age_spl_sex,""+"", cov_names[i])
fit_cox_model <- fit_cox_model_splines <-rms::cph(formula= as.formula(surv_formula_age_spl_sex_adjusted),
                                   data= input, weight=input$weight,surv = TRUE,x=TRUE,y=TRUE)",analysis/stage3_4_model_dev_eval_age_sex_adjusted.R,33-46,match,"The paper specifies age-and-sex adjusted Cox proportional hazards models, and the code implements this using rms::cph with Surv(...) and age (rcs) plus sex and each predictor. This aligns on the test specification."
5,Age- and sex-adjusted Cox proportional hazards model in the primary cohort estimating hazard ratios for demographic predictors of time to first coded long COVID.,Variable Specification,"“In each cohort, hazard ratios with 95% confidence intervals (CI) for each patient characteristic were estimated from age-and-sex adjusted Cox proportional hazards (PH) models…”[...]“The outcome was clinically coded long COVID, constructed from the date of the first record of any of the 15 UK SNOMED-CT codes for long COVID 6 in English primary care records, consisting of two diagnostic codes, three referral codes and 10 assessment codes (Supplement, Table S2). Time to the outcome event was defined as days from participant specific follow-up start date (Supplement, Table S1).”[...]“Demographic variables included age, sex, obesity, ethnicity, region and deprivation.”[...]“Age was modelled using a restricted cubic spline…”","“In each cohort, hazard ratios with 95% confidence intervals (CI) for each patient characteristic were estimated from age-and-sex adjusted Cox proportional hazards (PH) models…”","surv_formula_age_spl_sex <- paste0(
  ""Surv(lcovid_surv, lcovid_cens) ~ "",
  ""cov_cat_sex"",
  ""+rms::rcs(cov_num_age,parms=knot_placement)""
)
[...]cov_factor_names <- names(input)[grepl(""cov_cat"", names(input))]
cov_num_names <- names(input)[grepl(""cov_num"", names(input))]
if(analysis != ""infected""){
  cov_factor_names <- cov_factor_names[!cov_factor_names %in% c(""cov_cat_sex"",""cov_cat_ie.status"",
                                                              ""cov_cat_covid_phenotype"")] # remove sex and vaccination status
}else{
  cov_factor_names <- cov_factor_names[!cov_factor_names %in% c(""cov_cat_sex"",""cov_cat_ie.status"")] # remove sex and vaccination status
}
cov_num_names <- cov_num_names[! cov_num_names %in% ""cov_num_age""] # remove age
cov_names <- c(cov_factor_names, cov_num_names)
for(i in 1:length(cov_names)){
  surv_formula_age_spl_sex_adjusted <- paste0(surv_formula_age_spl_sex,""+"", cov_names[i])
  fit_cox_model <- fit_cox_model_splines <-rms::cph(formula= as.formula(surv_formula_age_spl_sex_adjusted),
                                   data= input, weight=input$weight,surv = TRUE,x=TRUE,y=TRUE)
  which_model = cov_names[i]
  output_file = paste0(""output/review/model/HR_age_sex_adjusted_"", which_model, ""_"", analysis)
  results <- cox_output2(fit_cox_model, which_model, output_file, save_output=FALSE)
}
[...]input_select <- input_select%>% rowwise() %>% mutate(fup_end_date=min(out_first_long_covid_date, 
                                                                        death_date, 
                                                                        cohort_end_date,
                                                                        na.rm = TRUE))
input_select$lcovid_surv<- as.numeric(input_select$fup_end_date - input_select$index_date)+1
input_select <- input_select %>% mutate(lcovid_cens = ifelse((out_first_long_covid_date <= fup_end_date & 
                                                                  out_first_long_covid_date >= index_date &
                                                                  !is.na(out_first_long_covid_date)), 1, 0))",analysis/stage2_model_input_set_up.R[...]analysis/stage3_4_model_dev_eval_age_sex_adjusted.R[...]analysis/stage1_define_eligible_population.R,analysis/stage2_model_input_set_up.R: ~96-115[...]analysis/stage3_4_model_dev_eval_age_sex_adjusted.R: ~8-36 and ~37-50[...]analysis/stage1_define_eligible_population.R: ~120-151,match,"The paper specifies an age- and sex-adjusted Cox model for time to first coded long COVID and lists demographic predictors, with age modeled via spline. The code implements Surv(lcovid_surv, lcovid_cens) with cov_cat_sex and rcs(cov_num_age) and adds each covariate in turn, matching the paper’s variable roles."
5,Age- and sex-adjusted Cox proportional hazards model in the primary cohort estimating hazard ratios for demographic predictors of time to first coded long COVID.,Parameter Specification,"“Age was modelled using a restricted cubic spline…”[...]“For computational efficiency, we used the full population with coded long COVID and a randomly sampled population without coded long COVID with a ratio of 1:20. We used inverse probability weighting and robust standard errors to account for the sampling approach.”[...]“We included a missing category for ethnicity, smoking status and IMD.”",“Age was modelled using a restricted cubic spline…”,"knot_placement=as.numeric(quantile(input$cov_num_age, probs=c(0.1,0.5,0.9)))[...]surv_formula_age_spl_sex <- paste0(
  ""Surv(lcovid_surv, lcovid_cens) ~ "",
  ""cov_cat_sex"",
  ""+rms::rcs(cov_num_age,parms=knot_placement)""
)[...]ratio_non_cases_to_cases = 20 # this is used in sampling non-cases to increase efficiency without loss of information[...]non_case_inverse_weight=(nrow(input)-nrow(cases))/nrow(non_cases)
input$weight <- ifelse(input$patient_id %in% noncase_ids,
                                    non_case_inverse_weight, 1)[...]robust_fit_cox_model=rms::robcov(fit_cox_model, cluster = input$practice_id)[...]levels(input$cov_cat_imd)[levels(input$cov_cat_imd)==0] <-""0 (missing)""[...]mutate(cov_cat_smoking_status = replace_na(cov_cat_smoking_status, ""Missing""))",analysis/stage2_model_input_set_up.R [...] analysis/functions/function_cox_output.R [...] analysis/stage0_data_cleaning.R,"stage2_model_input_set_up.R: ~90-110 (knot_placement and surv_formula_age_spl_sex) [...] stage2_model_input_set_up.R: ~20-45 and ~60-80 (ratio_non_cases_to_cases, non_case_inverse_weight, input$weight) [...] functions/function_cox_output.R: ~20-35 (rms::robcov and robust CIs) [...] stage0_data_cleaning.R: ~150-180 and ~200-220 (IMD “0 (missing)”; smoking_status replace_na(""Missing""))",match,"The implementation models age with restricted cubic splines, applies 1:20 non-case sampling with inverse-probability weights, and uses robust SEs; missing categories are created for IMD and smoking status as specified. These correspond to the paper’s parameter specifications for the age- and sex-adjusted Cox models."
5,Age- and sex-adjusted Cox proportional hazards model in the primary cohort estimating hazard ratios for demographic predictors of time to first coded long COVID.,Inference Specification,"In each cohort, hazard ratios with 95% confidence intervals (CI) for each patient characteristic were estimated from age-and-sex adjusted Cox proportional hazards (PH) models, and then all patient characteristics were included in a multivariable Cox PH model.","In each cohort, hazard ratios with 95% confidence intervals (CI) for each patient characteristic were estimated from age-and-sex adjusted Cox proportional hazards (PH) models, and then all patient characteristics were included in a multivariable Cox PH model","results$conf.low = exp(fit_cox_model$coefficients - 1.96* sqrt(diag(vcov(fit_cox_model)))) [...] results$robust.conf.low=exp(confint(robust_fit_cox_model,level=0.95)[,1])",analysis/functions/function_cox_output.R,21-35,match,The paper specifies 95% confidence intervals; the code computes 95% CIs using ±1.96 and level=0.95. This aligns the inference specification between paper and code.
