analysis_id,brief_description,dimension,paper_text,code_text,match_status,explanation
3,"Fully adjusted pooled logistic regression main analysis for positive SARS-CoV-2 test comparing ChAdOx1 versus BNT162b2, adjusted for calendar time/region, demographics, and clinical characteristics; used to derive time-varying hazard ratios and marginal cumulative incidence and absolute risk differences.",Test Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.,"fits some pooled logistic regression models, with different adjustment sets",match,Both the paper and code specify pooled logistic regression as the primary modeling approach. The code implements PLR models consistent with the paper’s description.
3,"Fully adjusted pooled logistic regression main analysis for positive SARS-CoV-2 test comparing ChAdOx1 versus BNT162b2, adjusted for calendar time/region, demographics, and clinical characteristics; used to derive time-varying hazard ratios and marginal cumulative incidence and absolute risk differences.",Variable Specification,"“Three outcomes were defined: positive SARS-CoV-2 test; covid-19 related A&E attendance; and unplanned covid-19 related hospital admission. Positive SARS-CoV-2 tests were identified using SGSS records and based on swab date. Both polymerase chain reaction (PCR) and lateral flow positive tests were included, without differentiation between symptomatic and asymptomatic infection.” [...] “The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region 2 ; additionally adjusting for demographic characteristics 3 ; additionally adjusting for clinical characteristics.” [...] “Participant characteristics used to describe the cohort and for confounder adjustment include age, sex (male or female), English Index of Multiple Deprivation (IMD, grouped by quintiles), ethnicity (Black, Mixed, South Asian, White, Other, as per the UK census), NHS region (East of England, Midlands, London, North East and Yorkshire, North West, South East, South West), number of conditions in the clinically ""at risk"" (but not clinically extremely vulnerable) classification, as per national prioritisation guidelines, the number of SARS-CoV-2 tests (positive or negative) in the 90 days before the study start date (via SGSS), rurality (urban conurbation, urban city or town, rural town or village), evidence of prior SARS-CoV-2 infection (positive test or covid-19 related hospitalisation), learning disabilities, and severe mental illness.”","""metadata_outcomes <- tribble(  ~outcome, ~outcome_var, ~outcome_descr,  ""test"", ""covid_test_date"", ""SARS-CoV-2 test"",  ""postest"", ""positive_test_date"", ""Positive SARS-CoV-2 test"", ... )"" [...] ""if(timescale==\""timesincevax\""){  formula_timescale_ns <- . ~ . + nsevents(tstop, outcome_event, 4)  formula_spacetime <- . ~ . + ns(vax1_day, 3)*region  formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) }"" [...] ""formula_demog <- . ~ . + poly(age, degree=2, raw=TRUE) + sex + imd_Q5 + ethnicity_combined + rural_urban_group"" [...] ""formula_comorbs <- . ~ . +  prior_covid_infection +  prior_tests_cat +  multimorb +  learndis +  sev_mental"" [...] ""formula3_ns <- formula_vaxonly_ns %>% update(formula_spacetime) %>% update(formula_demog) %>% update (formula_comorbs) %>% update(formula_exclude_prior_infection)""",match,"The code models the same outcome and exposure with a time-since-vaccination spline and adjusts for region-specific calendar time, demographics, and clinical covariates as described. Variable roles (outcome, predictor, and controls) align with the paper’s fully adjusted PLR specification."
3,"Fully adjusted pooled logistic regression main analysis for positive SARS-CoV-2 test comparing ChAdOx1 versus BNT162b2, adjusted for calendar time/region, demographics, and clinical characteristics; used to derive time-varying hazard ratios and marginal cumulative incidence and absolute risk differences.",Parameter Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination. Knot locations were based on quartiles of the event times.” [...] “Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering.” [...] “Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).” [...] “a sampling strategy was used such that all those who experienced the event of interest are selected (to retain statistical power), and a random sample of 50 000 event-free participants are selected. Person-time is weighted by the inverse of the sampling probability to recover the characteristics of the complete cohort.”","formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) [...] nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
} [...] robustSEs <- lmtest::coeftest(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0"")) [...] vcov <- vcovCL(plrmod, cluster = cluster, type = ""HC0"") [...] sample_outcome = sample_nonoutcomes_n(!is.na(tte_outcome), patient_id, samplesize_nonoutcomes_n),

    sample_weights = sample_weights(!is.na(tte_outcome), sample_outcome) [...] parglm(
  formula = formula3_ns,
  data = data_plr,
  weights = sample_weights,
  family = binomial,
  control = parglmparams,
  na.action = ""na.fail"",
  model = FALSE
) [...] action_model(""postest"", ""timesincevax"", ""1"", ""plr"", 50000) [...] cmlinc_variance <- function(model, vcov, newdata, id, time, weights){
  # calculate variance of adjusted survival / adjusted cumulative incidence
  [...]
  variance <- rowSums(crossprod(t(partial_derivative), vcov) * partial_derivative)
} [...] diff.se = sqrt(c(
        c(0, riskdiff_variance(plrmod0, vcov0, mutate(data_plr, vax1_az=0L), mutate(data_plr, vax1_az=1L), data_plr$patient_id, data_plr$tstop, data_plr$sample_weights)),
        [...]
      )) [...] survival.ll = pmax(0, survival+qnorm(0.025)*survivalse)
        survival.ul = pmin(1, survival+qnorm(0.975)*survivalse)",match,"The code sets knots at event-time quartiles for the time-varying spline, uses clustered sandwich standard errors, applies delta-method variance for marginal cumulative incidence (and differences), and implements sampling of 50,000 non-events with inverse-probability weights, matching the paper’s parameters."
3,"Fully adjusted pooled logistic regression main analysis for positive SARS-CoV-2 test comparing ChAdOx1 versus BNT162b2, adjusted for calendar time/region, demographics, and clinical characteristics; used to derive time-varying hazard ratios and marginal cumulative incidence and absolute risk differences.",Inference Specification,"“Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering. Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).” [...] “the ChAdOx1 versus BNT162b2 absolute risk difference per 1000 people (fig 2) for a positive SARS-CoV-2 test was -0.24 (95% confidence interval -1.71 to 1.22)”","vcov <- vcovCL(plrmod, cluster = cluster, type = ""HC0"") [...] survival.ll = pmax(0, survival+qnorm(0.025)*survivalse) - pmax(0, survival+qnorm(0.975)*survivalse - 1),
        survival.ul = pmin(1, survival+qnorm(0.975)*survivalse) + pmin(0, survival+qnorm(0.025)*survivalse), [...] diff.ll = diff+qnorm(0.025)*diff.se,
      diff.ul = diff+qnorm(0.975)*diff.se,",match,The paper specifies 95% confidence intervals using the delta method and clustered sandwich SEs; the code computes 95% CIs via qnorm(0.025/0.975) using cluster-robust vcovCL and delta-method variance for cumulative incidence and risk differences.
3,"Fully adjusted pooled logistic regression main analysis for positive SARS-CoV-2 test comparing ChAdOx1 versus BNT162b2, adjusted for calendar time/region, demographics, and clinical characteristics; used to derive time-varying hazard ratios and marginal cumulative incidence and absolute risk differences.",Coding Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Knot locations were based on quartiles of the event times.”","vax1_az = (vax1_type==""az"")*1 [...] nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
} [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)",match,The paper specifies a vaccine-specific three-knot spline based on event-time quartiles; the code encodes AZ as 1 (Pfizer as 0) and implements an interaction with a spline whose knots are set by event-time quantiles. This matches the stated coding approach.
4,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for covid-19–related A&E attendance with vaccine-specific time-varying effect.,Test Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.,"# fits some pooled logistic regression models, with different adjustment sets",match,"The paper specifies using pooled logistic regression, and the code explicitly states it fits pooled logistic regression models. This matches the test specification."
4,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for covid-19–related A&E attendance with vaccine-specific time-varying effect.,Variable Specification,"“We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.” [...] “The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination. Knot locations were based on quartiles of the event times. Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region 2 ; additionally adjusting for demographic characteristics 3 ; additionally adjusting for clinical characteristics.” [...] “Covid-19 related A&E attendances were identified using HES emergency care records with U07.1 (""covid-19, virus identified"") or U07.2 (""covid-19, virus not identified"") ICD-10 diagnosis codes.”","if(timescale==""timesincevax""){ [...] formula_timescale_ns <- . ~ . + nsevents(tstop, outcome_event, 4) # spline for timescale only [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region # spline for space-time adjustments [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)

} [...] metadata_outcomes <- tribble(
  ~outcome, ~outcome_var, ~outcome_descr,
  ""test"", ""covid_test_date"", ""SARS-CoV-2 test"",
  ""postest"", ""positive_test_date"", ""Positive SARS-CoV-2 test"",
  ""emergency"", ""emergency_date"", ""A&E attendance"",
  ""covidemergency"", ""emergency_covid_date"", ""COVID-19 A&E attendance"",",match,"The paper specifies covid-19 A&E attendance as the outcome, vaccine type with a vaccine-specific time-varying spline for time since vaccination, and adjustment for region-specific calendar-time via a spline of vaccination date interacted with region. The code models ""covidemergency"" with vax1_az and its interaction with a spline of time since vaccination, and adjusts using ns(vax1_day, 3)*region."
4,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for covid-19–related A&E attendance with vaccine-specific time-varying effect.,Parameter Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination. Knot locations were based on quartiles of the event times.” [...] “Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendar-time effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region 2 ; additionally adjusting for demographic characteristics 3 ; additionally adjusting for clinical characteristics.” [...] “Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering.” [...] “Confidence intervals for the vaccine-specific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).” [...] “a sampling strategy was used such that all those who experienced the event of interest are selected (to retain statistical power), and a random sample of 50 000 event-free participants are selected. Person-time is weighted by the inverse of the sampling probability to recover the characteristics of the complete cohort.” [...] “Using an intention-to-treat approach, comparative effectiveness estimates beyond 14 weeks were considered to be second-dose effects.”","nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
} [...] if(timescale==""timesincevax""){
  formula_timescale_ns <- . ~ . + nsevents(tstop, outcome_event, 4) # spline for timescale only
  formula_spacetime <- . ~ . + ns(vax1_day, 3)*region # spline for space-time adjustments
  formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)
} [...] # calculate time to event variables
... sample_outcome = sample_nonoutcomes_n(!is.na(tte_outcome), patient_id, samplesize_nonoutcomes_n),
    sample_weights = sample_weights(!is.na(tte_outcome), sample_outcome), [...] plrmod3 <- parglm(
  formula = formula3_pw,
  data = data_plr,
  weights = sample_weights,
  family = binomial,
  control = parglmparams,
  na.action = ""na.fail"",
  model = FALSE
) [...] robustSEs <- lmtest::coeftest(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0"")) [...] robustCIs <- lmtest::coefci(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0""), level = conf.level) [...] cmlinc_variance <- function(model, vcov, newdata, id, time, weights){
  # calculate variance of adjusted survival / adjusted cumulative incidence
  ...
  variance <- rowSums(crossprod(t(partial_derivative), vcov) * partial_derivative)
} [...] Confidence intervals for the risk-adjusted survival rates are calculated using the delta method (i.e, a first-order Taylor series approximation of the variance of the cumulative incidence). [...] if(censor_seconddose==1){
  postvaxcuts<-postvaxcuts12
  lastfupday<-lastfupday12
} else {
  postvaxcuts <- postvaxcuts20
  if(outcome==""postest"") postvaxcuts <- postvaxcuts20_postest
  lastfupday <- lastfupday20
} [...] postvaxcuts20 <-         c(0, 7, 14, 21, 28, 42, 63, 84, 140) [...] action_model(""covidemergency"", ""timesincevax"", ""1"", ""plr"", 50000)",match,"The code implements event-time-based spline knots (df=4 giving three internal knots), region-by-calendar-time adjustment, clustered sandwich standard errors, delta-method variances for marginal curves, and sampling of 50,000 non-events with inverse-probability weights, matching the paper’s parameter settings. It also uses a 20-week horizon without censoring at second dose to reflect the intention-to-treat specification."
4,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for covid-19–related A&E attendance with vaccine-specific time-varying effect.,Inference Specification,"Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).","mean.survivalse0 = sqrt(cmlinc_variance(plrmod0, vcov0, ccf, ccf$patient_id, ccf$tstop, ccf$sample_weights)) [...] survival.ll = pmax(0, survival+qnorm(0.025)*survivalse) - pmax(0, survival+qnorm(0.975)*survivalse - 1), [...] survival.ul = pmin(1, survival+qnorm(0.975)*survivalse) + pmin(0, survival+qnorm(0.025)*survivalse), [...] diff.ll = diff+qnorm(0.025)*diff.se, [...] diff.ul = diff+qnorm(0.975)*diff.se,",match,"The paper specifies delta-method confidence intervals for marginal cumulative incidence and their difference. The code computes variances via cmlinc_variance/riskdiff_variance and uses qnorm(0.025/0.975) to form 95% CIs, implementing the delta method."
4,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for covid-19–related A&E attendance with vaccine-specific time-varying effect.,Coding Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region …”","vax1_az = (vax1_type==""az"")*1 [...] nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
} [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region",match,"The paper specifies a vaccine-specific spline for time since vaccination and a spline for vaccination date interacted with region. The code implements this by coding vaccine type as a 0/1 indicator (vax1_az), interacting it with an event-time–based spline of time since vaccination, and including ns(vax1_day, 3)*region."
5,"Pooled logistic regression for covid-19–related A&E attendance comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Test Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.,"# fits some pooled logistic regression models, with different adjustment sets",match,Both the paper and code specify pooled logistic regression as the primary test. The code’s model_plr.R explicitly states it fits pooled logistic regression models.
5,"Pooled logistic regression for covid-19–related A&E attendance comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Variable Specification,"“Three outcomes were defined: positive SARS-CoV-2 test; covid-19 related A&E attendance; and unplanned covid-19 related hospital admission.” [...] “Covid-19 related A&E attendances were identified using HES emergency care records with U07.1 (""covid-19, virus identified"") or U07.2 (""covid-19, virus not identified"") ICD-10 diagnosis codes.” [...] “The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region 2 ; additionally adjusting for demographic characteristics 3 ; additionally adjusting for clinical characteristics.” [...] “Participant characteristics used to describe the cohort and for confounder adjustment include age, sex (male or female), English Index of Multiple Deprivation (IMD, grouped by quintiles), ethnicity (Black, Mixed, South Asian, White, Other, as per the UK census), NHS region (East of England, Midlands, London, North East and Yorkshire, North West, South East, South West), number of conditions in the clinically ""at risk"" (but not clinically extremely vulnerable) classification, as per national prioritisation guidelines, the number of SARS-CoV-2 tests (positive or negative) in the 90 days before the study start date (via SGSS), rurality (urban conurbation, urban city or town, rural town or village), evidence of prior SARS-CoV-2 infection (positive test or covid-19 related hospitalisation), learning disabilities, and severe mental illness. All characteristics were ascertained as at the time of vaccination.”","""metadata_outcomes <- tribble(
  ~outcome, ~outcome_var, ~outcome_descr,
  ""test"", ""covid_test_date"", ""SARS-CoV-2 test"",
  ""postest"", ""positive_test_date"", ""Positive SARS-CoV-2 test"",
  ""emergency"", ""emergency_date"", ""A&E attendance"",
  ""covidemergency"", ""emergency_covid_date"", ""COVID-19 A&E attendance"",
  ""admitted"", ""admitted_date"", ""Unplanned hospitalisation"",
  ""covidadmitted"", ""covidadmitted_date"", ""COVID-19 hospitalisation"",
  ""covidcc"", ""covidcc_date"", ""COVID-19 critical care"",
  ""coviddeath"", ""coviddeath_date"", ""COVID-19 death"",
  ""noncoviddeath"", ""noncoviddeath_date"", ""Non-COVID-19 death"",
  ""death"", ""death_date"", ""Any death"",
  ""seconddose"", ""covid_vax_any_2_date"", ""Second dose"",
)"" [...] ""vax1_az = (vax1_type==""az"")*1"" [...] ""if(timescale==""timesincevax""){
  formula_timescale_pw <- . ~ . + timesincevax_pw # spline for timescale only
  formula_timescale_ns <- . ~ . + nsevents(tstop, outcome_event, 4) # spline for timescale only
  formula_spacetime <- . ~ . + ns(vax1_day, 3)*region # spline for space-time adjustments

  formula_timesincevax_pw <- . ~ . + vax1_az + vax1_az:timesincevax_pw
  formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)

}"" [...] ""formula_demog <- . ~ . + poly(age, degree=2, raw=TRUE) + sex + imd_Q5 + ethnicity_combined + rural_urban_group"" [...] ""formula_comorbs <- . ~ . +
  prior_covid_infection +
  prior_tests_cat +
  multimorb +
  learndis +
  sev_mental"" [...] ""formula3_ns <- formula_vaxonly_ns %>% update(formula_spacetime) %>% update(formula_demog) %>% update (formula_comorbs) %>% update(formula_exclude_prior_infection)""",match,"The paper specifies the outcome (COVID-19 A&E attendance), exposure (vaccine type with a vaccine-specific time spline), and controls (region–calendar time interaction, demographics, and clinical factors). The code implements the same: maps the ‘covidemergency’ outcome, uses vax1_az with a time-since-vaccination spline and region-by-date spline, and includes demographic and clinical covariates."
5,"Pooled logistic regression for covid-19–related A&E attendance comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Parameter Specification,"“Knot locations were based on quartiles of the event times.” [...] “Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering.” [...] “Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).” [...] “a sampling strategy was used such that all those who experienced the event of interest are selected (to retain statistical power), and a random sample of 50 000 event-free participants are selected. Person-time is weighted by the inverse of the sampling probability to recover the characteristics of the complete cohort.” [...] “Using an intention-to-treat approach, comparative effectiveness estimates beyond 14 weeks were considered to be second-dose effects.”","# this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time [...] robustSEs <- lmtest::coeftest(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0"")) [...] sample_outcome = sample_nonoutcomes_n(!is.na(tte_outcome), patient_id, samplesize_nonoutcomes_n), [...] sample_weights = sample_weights(!is.na(tte_outcome), sample_outcome), [...] weights = sample_weights, [...] action_model(""covidemergency"", ""timesincevax"", ""1"", ""plr"", 50000), [...] postvaxcuts<-postvaxcuts12 [...] lastfupday<-lastfupday12 [...] postvaxcuts <- postvaxcuts20 [...] lastfupday <- lastfupday20",match,"The code sets event-time-based spline knots, uses clustered sandwich standard errors, samples 50,000 non-events with inverse-probability weighting, and controls 12- vs 20‑week follow-up, matching the paper’s parameter choices. Confidence intervals for cumulative incidence are computed via variance functions consistent with the delta method."
5,"Pooled logistic regression for covid-19–related A&E attendance comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Inference Specification,"Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering. Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).","Confidence intervals for the risk-adjusted survival rates are calculated using the delta method (i.e, a first-order Taylor series approximation of the variance of the cumulative incidence). [...] vcov <- vcovCL(plrmod, cluster = cluster, type = ""HC0"") [...] diff.ll = diff+qnorm(0.025)*diff.se,
      diff.ul = diff+qnorm(0.975)*diff.se,",match,"The paper specifies clustered sandwich standard errors and delta-method confidence intervals, and the code implements cluster-robust vcov (vcovCL) and 95% CIs via normal quantiles using variances computed by delta-method functions."
5,"Pooled logistic regression for covid-19–related A&E attendance comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Coding Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region.”","vax1_az = (vax1_type==""az"")*1 [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region [...] probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])",match,"The paper specifies a vaccine-specific spline for time since vaccination and a region-by-calendar-time spline; the code codes vaccine as a 0/1 indicator and implements vax–time spline interactions and ns(vax1_day, 3)*region with event-time–based knots. This matches the described coding approach."
6,"Fully adjusted pooled logistic regression main analysis for covid-19–related A&E attendance comparing ChAdOx1 versus BNT162b2; used to produce marginal cumulative incidence, absolute risk differences, and hazard ratios over time.",Test Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.,"# fits some pooled logistic regression models, with different adjustment sets",match,"Both the paper and the code specify using pooled logistic regression for the analysis. Therefore, the test specification matches."
6,"Fully adjusted pooled logistic regression main analysis for covid-19–related A&E attendance comparing ChAdOx1 versus BNT162b2; used to produce marginal cumulative incidence, absolute risk differences, and hazard ratios over time.",Variable Specification,"“Three outcomes were defined: positive SARS-CoV-2 test; covid-19 related A&E attendance; and unplanned covid-19 related hospital admission.” [...] “Covid-19 related A&E attendances were identified using HES emergency care records with U07.1 (""covid-19, virus identified"") or U07.2 (""covid-19, virus not identified"") ICD-10 diagnosis codes.” [...] “The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region 2 ; additionally adjusting for demographic characteristics 3 ; additionally adjusting for clinical characteristics.” [...] “Participant characteristics used to describe the cohort and for confounder adjustment include age, sex (male or female), English Index of Multiple Deprivation (IMD, grouped by quintiles), ethnicity (Black, Mixed, South Asian, White, Other, as per the UK census), NHS region (East of England, Midlands, London, North East and Yorkshire, North West, South East, South West), number of conditions in the clinically ‘at risk’ (but not clinically extremely vulnerable) classification, as per national prioritisation guidelines, the number of SARS-CoV-2 tests (positive or negative) in the 90 days before the study start date (via SGSS), rurality (urban conurbation, urban city or town, rural town or village), evidence of prior SARS-CoV-2 infection (positive test or covid-19 related hospitalisation), learning disabilities, and severe mental illness. All characteristics were ascertained as at the time of vaccination.”","""emergency_covid_date = pmin(emergency_covid_date, covidadmitted_date, na.rm=TRUE),"" [...] ""metadata_outcomes <- tribble( ~outcome, ~outcome_var, ~outcome_descr, [...] \""covidemergency\"", \""emergency_covid_date\"", \""COVID-19 A&E attendance\"", [...] )"" [...] ""if(timescale==\""timesincevax\""){ [...] formula_timescale_ns <- . ~ . + nsevents(tstop, outcome_event, 4) # spline for timescale only [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region # spline for space-time adjustments [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) }"" [...] ""formula_demog <- . ~ . + poly(age, degree=2, raw=TRUE) + sex + imd_Q5 + ethnicity_combined + rural_urban_group"" [...] ""formula_comorbs <- . ~ . +\n  prior_covid_infection +\n  prior_tests_cat +\n  multimorb +\n  learndis +\n  sev_mental"" [...] ""formula3_ns <- formula_vaxonly_ns %>% update(formula_spacetime) %>% update(formula_demog) %>% update (formula_comorbs) %>% update(formula_exclude_prior_infection)""",mismatch,"The paper defines the outcome as A&E attendances identified from HES emergency care ICD-10 codes, whereas the code redefines emergency_covid_date as the minimum of A&E and COVID-19 hospital admission dates. Other variables (exposure, time function, and adjustment covariates) align between paper and code."
6,"Fully adjusted pooled logistic regression main analysis for covid-19–related A&E attendance comparing ChAdOx1 versus BNT162b2; used to produce marginal cumulative incidence, absolute risk differences, and hazard ratios over time.",Parameter Specification,"Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering.[...]Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).[...]The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination. Knot locations were based on quartiles of the event times.[...]PLR models are computationally expensive to fit, as the input dataset must be arranged as one row per person per day of follow-up. To manage this, a sampling strategy was used such that all those who experienced the event of interest are selected (to retain statistical power), and a random sample of 50 000 event-free participants are selected. Persontime is weighted by the inverse of the sampling probability to recover the characteristics of the complete cohort.[...]Using an intention-to-treat approach, comparative effectiveness estimates beyond 14 weeks were considered to be second-dose effects.","# except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)[...]formula_timescale_ns <- . ~ . + nsevents(tstop, outcome_event, 4)[...]robustSEs <- lmtest::coeftest(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0"")[...]robustCIs <- lmtest::coefci(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0""), level = conf.level)[...]# calculate variance of adjusted survival / adjusted cumulative incidence[...]action_model(""covidemergency"", ""timesincevax"", ""1"", ""plr"", 50000)[...]!had_outcome & sampled ~ sum(!had_outcome)/sum((sampled) & !had_outcome),",match,"The code implements event-time quantile-based spline knots, clustered sandwich standard errors, variance calculations for marginal cumulative incidence, and sampling of 50,000 non-events with inverse-probability weighting, matching the paper’s specified parameters. The ITT framing is reflected by analyses with and without censoring at second dose, while the main PLR setup aligns with the paper."
